cmd,,lower,upper,isFlag,UniqueCode,return_info,Type,tryPerio,tryTimes
*KKA,关闭所有电路开关,,,1,setAllOFF,,ATE,200,2
*DS0,设计测试模式关闭,,,1,setDebugMode_OFF,,BDP,200,2
*K71,设置电源接通,,,1,setBatConnect_ON,,ATE,200,2
*K91,设置开关打开,,,1,setBatPower_ON,,ATE,200,2
delay,开机延时,1,,1,Power_ON_Delay,,SPE,200,3
*K90,设置开关打开,,,1,setBatPower1_ON,,ATE,200,2
*K21,设置上位机进入fct模式,,,1,setFCTModule_ON,,ATE,200,2
delay,上电延时,1,,1,power_ON_Delay,,SPE,200,2
?AD8,检测IMU_3V3,3.2,3.4,1,checkIMU3V3,,ATE,200,2
?AD1,检测WAKE UP GPIO,2.9,3.7,1,checkWakeupGPIO,,ATE,200,2
?AD2,检测MCU_3V3,3,3.7,1,checkMCU3V3,,ATE,200,2
?AD3,检测NAV_5V,4.75,5.25,1,checkNAV5V,,ATE,200,2
?AD4,检测VCCIO_SDIO,3,3.7,1,checkVCCIO_SDIO,,ATE,200,2
?AD5,检测电池电压,9,11,1,checkBatVolt_ATE,,ATE,200,2
?AD6,检测VCC_5V,4.75,5.25,1,checkVCC5V,,ATE,200,2
?AD7,检测SWITCHED_5V,4.75,5.25,1,checkSWITCHED5V,,ATE,200,2
*DS1,设置测试模式打开,,,1,setDebugMode_ON,,BDP,200,5
?DS,检测测试模式状态为打开,1,1,1,checkDebugMode_ON,,BDP,200,2
*WW,写入boardSn,,,1,setBoardSn,,BDP,200,2
delay,写入WD延时,3,,1,delayforwd,,SPE,200,2
*WD,写入拼接后的默认hwd,,,1,setDeHWD,,BDP,200,2
?WZ,查询软件版本,1.0.6,1.0.6,1,checkSWVersion,,BDP,200,2
?BA,检测电池电压信息Query Battery Voltage,0,16800,1,checkBAT_V,,BDP,200,2
?BA,检测电池电流信息Query Battery Current,50,300,1,checkBAT_A,,BDP,200,2
?DD,检测关闭时主刷工作电流,0,10,1,checkBrushRollCurrent_OFF,,BDP,200,2
?DR1,检测关闭时右轮电机工作速度,0,10,1,checkRWheelSpeed_OFF,,BDP,200,2
?DR0,检测关闭时左轮电机工作速度,0,10,1,checkLWheelSpeed_OFF,,BDP,200,2
?DB0,检测关闭时左边刷电机工作电流,0,10,1,checkLSideBrushCurrent_OFF,,BDP,200,2
?DC,检测关闭时吸尘电机工作工作电流,0,10,1,checkSuctionCurrent_OFF,,BDP,200,2
?DA,检测震动电机电流,0,5,1,checkAgitADC_0,,BDP,200,2
?DG,检测喷水电机电流,0,5,1,checkWaterPumADC_0,,BDP,200,2
?DL,检测关闭时fanj电机工作工作电流,0,0,1,checkFanJ_ADC,,BDP,200,2
*DD032,设置主刷马达工作,,,1,setBrushRoll_ON,,BDP,200,2
*DM2100C8,设置两边轮子正转,,,1,setLRWheelFWD_ON,,BDP,200,2
*DB064,设置左边刷工作,,,1,setLSideBrush_ON,,BDP,200,2
*DB164,设置右边刷工作,,,1,setRSideBrush_ON,,BDP,200,2
*DC48,设置吸尘电机工作,,,1,setSuction_ON,,BDP,200,2
*DA64,激活振动电机工作,,,1,activeAgitatorMotor,,BDP,200,2
*DG164,激活喷水电机工作,,,1,activeWaterPumpMotor,,BDP,200,2
*DL064,激活fanj电机工作,,,1,activeFanJMotor,,BDP,200,2
delay,打开电机延时,1,,1,motor_ON_Delay,,SPE,200,2
?DD,检测主刷工作电流,15,300,1,checkBrushRollCurrent_ON,,BDP,200,2
*DD000,设置主刷停止,,,1,setBrushRoll_OFF,,BDP,200,2
?DM1,检测右轮正转工作电流,15,100,1,checkRWheelFWDCurrent_ON,,BDP,200,2
?DR1,检测右轮正转工作速度,195,215,1,checkRWheelFWDSpeed_ON,,BDP,200,2
*DM110000,设置右轮停止正转,,,1,setRWheelFWD_OFF,,BDP,200,2
?DM0,检测左轮正转工作电流,15,100,1,checkLWheelFWDCurrent_ON,,BDP,200,2
?DR0,检测左轮正转工作速度,195,215,1,checkLWheelFWDSpeed_ON,,BDP,200,2
*DM010000,设置左轮停止正转,,,1,setLWheelFWD_OFF,,BDP,200,2
*DM2000C8,设置两边轮子反转,,,1,setLRWheelREV_ON,,BDP,200,2
*adbConnect,,,,1,setAdbConnect,,FCT,200,1
*pushfactory,,,,1,setpushfactory,,FCT,200,1
*wakeupGPIO,,,,0,setwakeupGpio,,FCT,200,1
*RK809,,,,0,setRK809Test,,FCT,200,1
*Wifi,,,,0,setWifiTest,,FCT,200,1
*checkConfig,设置wifi config文件,,,1,setSCMconftest,,FCT,200,1
*DDR,,,,1,setDDRTest,,FCT,200,1
*Audio_V,设置板卡播报1K音频文件,,,1,setAudioVoltage,,FCT,200,1
delay,轮子反转延时,1,,1,rev_ON_Delay,,SPE,300,3
?DM1,检测右轮工作电流,15,100,1,checkRWheelREVCurrent_ON,,BDP,300,3
?DR1,检测右轮工作速度,195,215,1,checkRWheelREVSpeed_ON,,BDP,300,3
*DM100000,设置右轮停止反转,,,1,setRWheelREV_OFF,,BDP,300,3
?DM0,检测左轮工作电流,15,100,1,checkLWheelREVCurrent_ON,,BDP,300,3
?DR0,检测左轮工作速度,195,215,1,checkLWheelREVSpeed_ON,,BDP,300,3
*DM000000,设置左轮停止反转,,,1,setLWheelREV_OFF,,BDP,300,3
?DB0,检测左边刷工作电流,15,150,1,checkLSideBrushCurrent_ON,,BDP,300,3
*DB000,设置左边刷关闭,,,1,setLSideBrush_OFF,,BDP,300,3
?DC,检测吸尘电机工作电流,15,500,1,checkSuctionCurrent_ON,,BDP,300,3
*DC00,设置吸尘电机关闭,,,1,setSuction_OFF,,BDP,300,3
?DA,检测震动电机电流,18,80,1,checkAgitADC_1,,BDP,200,2
?DG,检测喷水电机电流,30,80,1,checkWaterPumADC_1,,BDP,200,2
?DL,检测fanj电机电流,100,250,1,checkFanJ_ADC_1,,BDP,200,2
*K20,设置上位机退出fct模式,,,1,setFCTModule_OFF,,ATE,300,3
*KE0,设置电源树关闭使能,,,1,setPowerTree_OFF,,ATE,300,3
?DU7,Along wall Sensor L ADC值 同上,1,3200,1,checkLAlongWall_ADC,,BDP,300,3
?DU6,Along wall Sensor L ADC值 同上,1,3200,1,checkRAlongWall_ADC,,BDP,300,3
?DV0,检测左前Dock IR Sensor(IR Sensors ON for docking@Front Left),1,1048576,0,checkFrontLDockIRSesor,,BDP,300,3
