1,,lower,upper,isFlag,uniqueCode,,Type,tryPerio,tryTimes
*DS1,进入校准模式,1,1,1,setTestMode_ON,,BDP,200,3
?DS,检测当前模式,1,1,1,checkTestMode_ON,,BDP,200,3
?WX,读取10位机型信息SKU （判断长度）,28,28,2,checkQRCode_cal,,BDP,200,6
?WZ,检测MCUAPP版本,1.0.73,1.0.73,2,checkMCUVersion,,BDP,200,6
?WN,导航版版本查询,6.6.a,6.6.a,2,checkNavVersion,,BDP,200,6
?WD,读取HWD（判断长度以及是否匹配QR信息）,32,32,2,checkHWDinfo_QR,,BDP,200,5
?WG0,检测BDP成功标志,2,2,0,checkBDPFlag,,BDP,200,6
?WG1,检查cliff标定过站状态,2,2,0,checkCliffCalState,,BDP,200,3
?WG6,检查lidar标定过站状态,2,2,0,checkLidarCalState,,BDP,200,3
*CA0,开始sensor3dcamera标定0,,,2,cameraCalibration0,,BDP,200,3
*CA0,开始sensor3dcamera标定1,,,2,cameraCalibration1,,BDP,200,3
delay,延时等待检测,5,,2,delay0,,SPE,200,3
?CA0,检测sensor3d camera标定结果,,,2,cameraCalibrationerrorCode,,BDP,200,3
?CA0,采集camera标定数据0,47,47,2,cameraCalibrationData0,,BDP,200,3
?CA1,采集camera标定标定数据2,52,52,2,cameraCalibrationData1,,BDP,200,3
*PC,开始sensor3d光平面标定,,,2,laserPlaneCalibration,,BDP,200,3
delay,延时等待检测,5,,2,delay1,,SPE,200,3
?PC0,检测sensor3d光平面标定结果,,,2,laserPlaneCalibrationerrorCode,,BDP,200,3
?PC0,采集光平面标定标定数据0,32,32,2,laserPlaneCalibrationData0,,BDP,200,3
?PC1,采集光平面标定标定数据1,52,52,2,laserPlaneCalibrationData1,,BDP,200,3
?PC2,采集光平面标定标定数据2,52,52,2,laserPlaneCalibrationData2,,BDP,200,3
?PC3,采集光平面标定标定数据3,52,52,2,laserPlaneCalibrationData3,,BDP,200,3
?PC4,采集光平面标定标定数据4,52,52,2,laserPlaneCalibrationData4,,BDP,200,3
?PC5,采集光平面标定标定数据5,42,42,2,laserPlaneCalibrationData5,,BDP,200,3
*AA,开始sensor3d姿态角标定,,,2,attitudeCalibration,,BDP,200,3
delay,延时等待检测,5,,2,delay2,,SPE,200,3
?AA,检测sensor3d姿态角标定结果,,,2,attitudeCalibrationerrorCode,,BDP,200,3
?AA,sensor3d姿态角标定数据,39,39,2,attitudeCalibrationCheck,,BDP,200,3
*PQ,开始点云评估,,,2,pointsevaluation,,BDP,200,3
delay,延时等待检测,3,,2,delay3,,SPE,200,3
?PQ0,检测点云评估结果,,,2,pointsevaluationerrorCode,,BDP,200,3
?PQ0,采集点云评估数据0,39,39,2,pointsevaluationData0,,BDP,200,3
?PQ1,采集点云评估数据1,54,54,2,pointsevaluationData1,,BDP,200,3
?PQ2,采集点云评估数据2,40,40,2,pointsevaluationData2,,BDP,200,3
*DS0,退出测试模式,,,1,setTestMode_OFF,,BDP,200,3
?DS,确认退出测试模式,0,0,1,checkTestMode_OFF,,BDP,200,10
