cmd,,lower,upper,isFlag,UniqueCode,return_info,Type,tryPerio,tryTimes
*DS0,确保机器未进入测试模式,,,1,setInitTestMode_OFF,,BDP,200,2
?BA,检测电池电压信息Query Battery Voltage,13500,17000,1,checkBAT_V_1,,BDP,200,10
?BA,检测电池电流信息Query Battery Current,120,400,1,checkBAT_A_1,,BDP,200,2
?BC,检测电池充电电压信息Query Charging voltage,0,10000,1,checkChargeBAT_V_1,,BDP,200,2
?BC,检测电池充电电流信息Query Charging Current,0,0,1,checkChargeBAT_A_1,,BDP,200,2
?BC,检测电池充电状态信息Query Charging State,0,0,1,checkChargeBAT_ST_1,,BDP,200,2
currentTest_ON,充电弹片接触,,,1,currentTest_ON,,,200,2
?BA,检测电池电压信息Query Battery Voltage,13500,17000,1,checkBAT_V_dyna,,BDP,200,10
?BA,检测电池电流信息Query Battery Current,0,17000,1,checkBAT_A_dyna,,BDP,200,2
?BC,检测电池充电电压信息Query Charging voltage,16500,20000,1,checkChargeBAT_V_dyna,,BDP,200,2
?BC,检测电池充电电流信息Query Charging Current,450,650,1,checkChargeBAT_A_dynaEqu,,BDP,200,2
?BC,检测电池充电状态信息Query Charging State,1,1,1,checkChargeBAT_ST_dyna,,BDP,200,2
currentTest_OFF,充电弹片断开,,,1,currentTest_OFF,,,200,2
?BA,检测电池电压信息Query Battery Voltage,13500,17000,1,checkBAT_V_2,,BDP,200,10
?BA,检测电池电流信息Query Battery Current,60,500,1,checkBAT_A_2,,BDP,200,2
?BC,检测电池充电电压信息Query Charging voltage,0,5000,1,checkChargeBAT_V_2,,BDP,500,30
?BC,检测电池充电电流信息Query Charging Current,0,0,1,checkChargeBAT_A_2,,BDP,200,2
?BC,检测电池充电状态信息Query Charging State,0,0,1,checkChargeBAT_ST_2,,BDP,200,2
*DS1,进入测试模式Enter Test Mode,,,1,setTestMode_ON,,BDP,200,2
?DS,确认进入测试模式Ensure Test Mode,1,1,1,checkTestMode_ON,,BDP,200,2
*WX,写入整机二维码SKU和SN信息,212,212,1,setQRCode,,BDP,500,1
*WD,写入整机二维码HWD信息,32,32,1,setHWD,,BDP,500,1
delay,手动开机延时,5,,1,delay_baoyu,,SPE,200,1
*WP2,重启上下位机,,,1,setReboot,,BDP,200,2
currentTest_ON,充电弹片接触,,,1,currentTest_ON2,,,200,1
currentTest_OFF,充电弹片断开,,,1,currentTest_OFF2,,,200,1
*DS1,二次进入测试模式,,,1,setTestMode_ON_2,,BDP,200,2
#ST0,,,,0,defaultFakeDB,,FDB,200,1
?DX3,判断尘盒磁传感器未触发,0,0,1,checkDustBMAGSensor_OFF,,BDP,200,2
#ST2,,,,0,resetFakeDB,,FDB,200,1
#SC30,发送trapdoor 默认传感器控制指令到假尘盒,,,0,sendTrapDoorDE_FakeDB1,,FDB,200,2
#SC10,发送water tank 默认传感器控制指令到假尘盒,,,0,sendWaterTankDE_FakeDB1,,FDB,200,2
#SC20,发送water level 默认传感器控制指令到假尘盒,,,0,sendWaterLevelDE_FakeDB1,,FDB,200,2
*DK,写入水箱流量,,,1,setWaterflowrate,,BDP,200,5
?WX,读取SKU以及SN （判断长度以及是否匹配QR信息）,212,212,1,checkQRCode,,BDP,200,5
?WX,查询factoryCode,T3,T3,1,checkFactoryCode,,BDP,200,5
?WD,读取HWD（判断长度以及是否匹配QR信息）,32,32,1,checkHWDinfo_QR,,BDP,200,5
*NP1,开启导航板电源Nav Board Poweron,,,1,setNavBoard_PowerON,,BDP,200,2
?DX0,判断左磁传感器是否触发,0,0,0,checkMAGSensorL_OFF,,BDP,200,2
?DX1,判断右磁传感器是否触发,0,0,0,checkMAGSensorR_OFF,,BDP,200,2
?DX2,判断中左磁传感器是否触发,0,0,0,checkMAGSensorCL_OFF,,BDP,200,2
?DX4,判断中右磁传感器是否触发,0,0,0,checkMAGSensorCR_OFF,,BDP,200,2
?DX5,判断中磁传感器是否触发,0,0,0,checkMAGSensorC_OFF,,BDP,200,2
?DX6,判断tropdoor传感器是否触发,0,0,0,checkTrapDoorSensorOFF,,BDP,200,2
?DX7,判断水箱传感器是否触发,0,0,1,checkWaterTankSensorOFF,,BDP,200,2
?DX12,判断水位传感器未触发,0,0,1,checkWaterLeveSensor_OFF,,BDP,200,2
?DA,检测震动电机电流,0,5,1,checkAgitADC_0,,BDP,200,2
?DG,检测喷水电机电流,0,5,1,checkWaterPumADC_0,,BDP,200,2
?DL,检测fanjet马达关闭电流,0,0,0,checkFanJ_ADC,,BDP,200,2
*LG12,点亮fanjetLED,,,0,activeFanjetLED,,BDP,200,2
*DD004B0,激活主刷马达工作,,,1,activeMainBrushMotor,,BDP,200,2
*DM1001F4,激活右轮马达正转,,,1,activeRWheelMotor,,BDP,200,2
*DM0001F4,激活左轮马达正转,,,1,activeLWheelMotor,,BDP,200,2
*DB064,激活左边刷马达工作,,,1,activeLSideBrushMotor,,BDP,200,2
*DB164,激活右边刷马达工作,,,0,activeRSideBrushMotor,,BDP,200,2
*DC64,激活吸尘风机电机工作,,,1,activeSuctionMotor,,BDP,200,2
*DA64,激活振动电机工作,,,1,activeAgitatorMotor,,BDP,200,2
*DG164,激活喷水电机工作,,,1,activeWaterPumpMotor,,BDP,200,2
*DL064,激活fanj电机工作,,,0,activeFanJMotor,,BDP,200,2
?UI,检测按键放开状态,0,0,1,checkBtnState,,BDP,200,2
?DW1,检测右轮是否落下,1,1,1,checkRWheelDown,,BDP,200,2
?DW0,检测左轮是否落下,1,1,1,checkLWheelDown,,BDP,200,2
?DT0,检测left bumper是否触发,0,0,1,checkLBumper_OFF,,BDP,200,2
?DT1,检测right bumper是否触发,0,0,1,checkRBumper_OFF,,BDP,200,2
?DT2,检测TopLeft bumper是否触发,0,0,1,checkTopLBumper_OFF,,BDP,200,2
?DT3,检测TopRight bumper是否触发,0,0,1,checkTopRBumper_OFF,,BDP,200,2
?DT12,检测TopCenter Middle bumper是否触发,0,0,1,checkTopCBumper_OFF,,BDP,200,2
?DT9,检查雷达bumper 开关0 LiDAR turret bumper 0,0,0,1,checkLidarTurretLBumper_OOFF,,BDP,200,2
?DTA,检查雷达bumper 开关1 LiDAR turret bumper 1,0,0,1,checkLidarTurretRBumper_OFF,,BDP,200,2
?DTB,检查雷达bumper 开关2 LiDAR turret bumper 2,0,0,0,checkLidarTurretFBumper_OFF,,BDP,200,2
?DD,检测主刷工作电流,120,400,1,checkMainBrushMotor_A,,BDP,200,2
?DD,检测主刷工作速度,900,1100,0,checkMainBrushMotor_RPM,,BDP,200,2
?DM1,检测右轮电机正转电流,20,100,1,checkRWheelMotor_A,,BDP,200,2
?DR1,检测右轮电机正转速度,3120,5120,1,checkRWheelMotor_RPM,,BDP,200,2
?DM0,检测左轮电机正转电流,20,100,1,checkLWheelMotor_A,,BDP,200,2
?DR0,检测左轮电机正转速度,3120,5120,1,checkLWheelMotor_RPM,,BDP,200,2
*DM1101F4,激活右轮马达反转,,,1,activeRWheelMotor1,,BDP,200,2
*DM0101F4,激活左轮马达反转,,,1,activeLWheelMotor1,,BDP,200,2
?DB0,检测左边刷电机工作电流,20,60,1,checkLSideBrushMotor_A,,BDP,200,2
?DB1,检测右边刷电流工作电流,20,60,0,checkRSideBrushMotor_A,,BDP,200,2
?DC,检测吸尘电机工作速度,150,350,1,checkSuctionMotor_A,,BDP,200,2
?DA,检测震动电机电流,20,120,1,checkAgitADC_1,,BDP,200,2
?DG,检测喷水电机电流,30,120,1,checkWaterPumADC_1,,BDP,200,2
?DL,检测Fanjet马达开启电流,100,250,0,checkFanJ_ADC_1,,BDP,200,2
?DM1,检测右轮电机反转电流,20,100,1,checkRWheelMotor_A1,,BDP,200,2
?DR1,检测右轮电机反转速度,3120,5120,1,checkRWheelMotor_RPM1,,BDP,200,2
?DM0,检测左轮电机反转电流,20,100,1,checkLWheelMotor_A1,,BDP,200,2
