1,,lower,upper,isFlag,uniqueCode,,Type,tryPerio,tryTimes
*DS1,进入校准模式,1,1,2,setTestMode_ON,,BDP,200,3
?DS,检测当前模式,1,1,2,checkTestMode_ON,,BDP,200,3
?WX,读取10位机型信息SKU （判断长度）,28,28,2,checkQRCode_cal,,BDP,200,6
?WD,读取HWD（判断长度以及是否匹配QR信息）,32,32,0,checkHWDinfo_QR,,BDP,200,5
?WG0,检测BDP测试标志,2,2,2,checkBDPTestState,,BDP,200,2
?WG2,检查测试标志WG2,2,2,2,checkWG2,,BDP,200,3
*NC00,set Optical Flow Right sensor Light Source laser,,,2,setROFS_laser,,BDP,200,2
?NC0,check Optical Flow Right sensor Light Source ,0,0,2,checkROFSlightSour,,BDP,200,2
*ND0,设置机器在校准状态0,,,0,setOFSCalMode0,,BDP,200,3
?ND,,0,0,0,checkOFSCalMode0,,BDP,200,3
OFS1,移动机器到地板40cm处,,,2,setFIxtureMove40,,OFS,200,3
*ND1,设置机器在校准状态1,,,0,setOFSCalMode1,,BDP,200,3
?ND,,1,1,0,checkOFSCalMode1,,BDP,200,3
OFS2,移动机器6厘米,,,2,setFIxtureMove6,,OFS,200,3
*NC01,set Optical Flow Right sensor Light Source laser,,,0,setROFS_LED_2,,BDP,200,2
?NC0,check Optical Flow Right sensor Light Source ,1,1,0,checkROFSlightSour_3,,BDP,200,2
*ND2,设置机器在校准状态2,,,0,setOFSCalMode2,,BDP,200,3
?ND,,2,2,0,checkOFSCalMode2,,BDP,200,3
OFS3,移动机器到地毯40cm处,,,2,setcarpetMove6,,OFS,200,3
*ND3,设置机器在校准状态3,,,0,setOFSCalMode3,,BDP,200,3
?ND,,3,3,0,checkOFSCalMode3,,BDP,200,3
delay,延时等待,1,,2,delay_ofs,,SPE,200,3
*DS1,进入校准模式,1,1,2,setTestMode_ON2,,BDP,200,3
?DS,检测当前模式,1,1,2,checkTestMode_ON2,,BDP,200,3
?NA00,读取Scale at Floor- LD,1.15,1.23,2,checkScaleFloorLD,,BDP,200,3
?NA01,(unit : degree) at floor- LD,-3.3,3.3,2,checkDegreeFloorLD,,BDP,200,3
?NA04,读取Scale at  Carpet- LED,1.16,1.32,2,checkScaleCarpetLED,,BDP,200,3
?NA05,(unit : degree) at Carpet- LED,-3.3,3.3,2,checkScaleCarpetLED,,BDP,200,3
?WM,HWD自检,32,32,2,checkHWD_self,,BDP,200,5
*WG52,写入OFS成功标志1,2,2,2,setOFSPass,,BDP,200,3
?WG5,检测OFS成功标志1,2,2,1,checkOFSState,,BDP,200,10
*DS0,退出测试模式,,,1,setTestMode_OFF,,BDP,200,3
?DS,确认退出测试模式,0,0,1,checkTestMode_OFF,,BDP,200,10
