cmd,,lower,upper,isFlag,UniqueCode,return_info,Type,tryPerio,tryTimes
*DS0,确保机器未进入测试模式,,,1,setInitTestMode_OFF,,BDP,200,2
?BA,检测电池电压信息Query Battery Voltage,13500,17000,0,checkBAT_V_1,,BDP,200,10
?BA,检测电池电流信息Query Battery Current,80,400,0,checkBAT_A_1,,BDP,200,2
?BC,检测电池充电电压信息Query Charging voltage,0,10000,0,checkChargeBAT_V_1,,BDP,200,2
?BC,检测电池充电电流信息Query Charging Current,0,0,0,checkChargeBAT_A_1,,BDP,200,2
?BC,检测电池充电状态信息Query Charging State,0,0,0,checkChargeBAT_ST_1,,BDP,200,2
currentTest_ON,充电弹片接触,,,0,currentTest_ON,,,200,2
?BA,检测电池电压信息Query Battery Voltage,13500,17000,0,checkBAT_V_dyna,,BDP,200,10
?BA,检测电池电流信息Query Battery Current,0,17000,0,checkBAT_A_dyna,,BDP,200,2
?BC,检测电池充电电压信息Query Charging voltage,16500,20000,0,checkChargeBAT_V_dyna,,BDP,200,2
?BC,检测电池充电电流信息Query Charging Current,450,650,0,checkChargeBAT_A_dynaEqu,,BDP,200,2
?BC,检测电池充电状态信息Query Charging State,1,1,0,checkChargeBAT_ST_dyna,,BDP,200,2
currentTest_OFF,充电弹片断开,,,0,currentTest_OFF,,,200,2
?BA,检测电池电压信息Query Battery Voltage,13500,17000,2,checkBAT_V_2,,BDP,200,10
?BA,检测电池电流信息Query Battery Current,60,500,2,checkBAT_A_2,,BDP,200,2
?BC,检测电池充电电压信息Query Charging voltage,0,3000,2,checkChargeBAT_V_2,,BDP,200,2
?BC,检测电池充电电流信息Query Charging Current,0,0,2,checkChargeBAT_A_2,,BDP,200,2
?BC,检测电池充电状态信息Query Charging State,0,0,2,checkChargeBAT_ST_2,,BDP,200,2
*DS1,进入测试模式Enter Test Mode,,,1,setTestMode_ON,,BDP,200,2
?DS,确认进入测试模式Ensure Test Mode,1,1,2,checkTestMode_ON,,BDP,200,2
*WX,写入整机二维码SKU和SN信息,28,28,2,setQRCode,,BDP,500,1
*WD,写入整机二维码HWD信息,32,32,2,setHWD,,BDP,500,1
*WP2,重启上下位机,,,2,setReboot,,BDP,200,2
currentTest_ON,充电弹片接触,,,0,currentTest_ON2,,,200,1
currentTest_OFF,充电弹片断开,,,0,currentTest_OFF2,,,200,1
delay,手动开机延时,10,,0,delay_baoyu,,SPE,200,1
*DS1,二次进入测试模式,,,2,setTestMode_ON_2,,BDP,200,2
*DK,写入水箱流量,,,2,setWaterflowrate,,BDP,200,5
?WX,读取SKU以及SN （判断长度以及是否匹配QR信息）,28,28,2,checkQRCode,,BDP,200,5
?WD,读取HWD（判断长度以及是否匹配QR信息）,32,32,2,checkHWDinfo_QR,,BDP,200,5
*NP1,开启导航板电源Nav Board Poweron,,,2,setNavBoard_PowerON,,BDP,200,2
?DX0,判断左磁传感器是否触发,0,0,0,checkMAGSensorL_OFF,,BDP,200,2
?DX1,判断右磁传感器是否触发,0,0,0,checkMAGSensorR_OFF,,BDP,200,2
