cmd,,lower,upper,isFlag,UniqueCode,return_info,Type,tryPerio,tryTimes
*DS1,进入测试模式Enter Test Mode,,,1,setTestMode_ON,,BDP,200,2
?DS,确认进入测试模式Ensure Test Mode,1,1,1,checkTestMode_ON,,BDP,200,2
?DN3,OFD 中右 reflect值判断,365.56,1210.03,1,check_reflect_MR_OFD,,,200,6
?DN3,OFD 中右 brhind值判断,417.81,2453.35,1,check_behind_MR_OFD,,,200,6
?DN3,OFD 中右 cliff值判断,1865.7,2539.7,1,check_cliff_MR_OFD,,,200,6
?DU0,判断传感器类型 ,1,1,1,checkSensorType0,,BDP,200,2
?DU1,判断传感器类型 ,1,1,1,checkSensorType1,,BDP,200,2
?DU2,判断传感器类型 ,1,1,1,checkSensorType2,,BDP,200,2
?DU3,判断传感器类型 ,1,1,1,checkSensorType3,,BDP,200,2
?DU0,前左cliff ADC值 ,50,200,1,checkFrontLCliff_ADC,,BDP,200,2
?DU1,前右 cliff ADC值 ,50,200,1,checkFrontRCliff_ADC,,BDP,200,2
?DU2,中左 cliff ADC值 ,50,200,1,checkMiddleLCliff_ADC,,BDP,200,2
?DU3,中右 cliff ADC值 ,50,200,1,checkMiddleRCliff_ADC,,BDP,200,2
*DS0,退出测试模式,,,1,setTestMode_OFF,,BDP,200,2
?DS,确认退出测试模式,0,0,1,checkTestMode_OFF,,BDP,200,2
