operator,robotSN,packageName,dsn,stationMac,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,A06Q3081Z2J3,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,None_A06Q3081Z2J3,00:1e:10:1f:00:00,KAY-DT-44,2021-03-01 13:36:05,,,11.815,success,noInfo,0.392
noInfo,A06Q3081Z2J3,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,None_A06Q3081Z2J3,00:1e:10:1f:00:00,KAY-DT-44,2021-03-01 13:37:31,,,1.818,success,noInfo,0.391
noInfo,A06Q3081Z2J3,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,None_A06Q3081Z2J3,00:1e:10:1f:00:00,KAY-DT-44,2021-03-01 13:55:27,,,1.822,success,noInfo,0.398
noInfo,A06Q3081Z2J3,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,None_A06Q3081Z2J3,00:1e:10:1f:00:00,KAY-DT-44,2021-03-01 14:00:55,,,1.821,success,noInfo,0.403
noInfo,A06Q3081Z2J3,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,None_A06Q3081Z2J3,00:1e:10:1f:00:00,KAY-DT-44,2021-03-01 14:01:29,,,1.812,success,noInfo,0.403
noInfo,A06Q3081Z2J3,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,None_A06Q3081Z2J3,00:1e:10:1f:00:00,KAY-DT-44,2021-03-01 14:09:20,,,1.818,success,noInfo,0.393
noInfo,A11Q3081H5R0,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,None_A11Q3081H5R0,00:1e:10:1f:00:00,KAY-DT-44,2021-03-01 14:44:23,35.461,11.436,11.819,success,noInfo,0.392
noInfo,X12K3081H2H8,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,None_X12K3081H2H8,00:1e:10:1f:00:00,KAY-DT-44,2021-03-01 15:14:55,34.154,11.184,11.961,success,noInfo,0.403
noInfo,X12K3081H2H8,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589030,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 20:22:02,35.905,11.191,2.35,success,noInfo,1.704,0.431
noInfo,F01Q3081A0F1,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589031,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 20:58:08,33.899,11.452,11.27,success,noInfo,1.667,0.408
noInfo,F01Q3081A1K6,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589032,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:08:09,33.338,11.333,11.242,success,noInfo,1.598,0.407
noInfo,F01Q3081A3A5,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589033,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:22:40,35.047,11.157,11.392,success,noInfo,1.69,0.405
noInfo,F01Q3081A2H6,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589034,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:38:02,33.918,11.537,11.348,success,noInfo,1.711,0.387
noInfo,F01Q3081A1K7,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589035,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:44:20,33.872,11.337,11.453,success,noInfo,1.659,0.391
noInfo,F01Q3081A1K8,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589036,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:45:53,36.96,11.362,11.35,success,noInfo,1.628,0.4
noInfo,F01Q3081A1K9,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589037,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:48:01,33.802,11.445,11.44,success,noInfo,1.688,0.4
noInfo,F01Q3081A2H7,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589038,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:51:23,35.034,11.548,11.16,success,noInfo,1.614,0.404
noInfo,F01Q3081A1K5,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589039,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:52:39,34.949,11.351,11.173,success,noInfo,1.698,0.398
