operator,deviceSN,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,H11Q3081Z4B7,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021 (2).zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 08:14:07.324975,32.914,21.697,12.195,failed,noInfo,0.15,0.821
noInfo,H11Q3081Z4B7,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021 (2).zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 08:16:21.494225,35.798,22.004,3.724,failed,noInfo,0.214,0.802
noInfo,H11Q3081Z4B7,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021 (2).zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 08:17:49.935321,35.414,22.004,3.718,failed,noInfo,0.214,0.801
noInfo,H11Q3081Z4B7,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021 (2).zip,AC000W016589242,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 08:18:46.181709,46.85,21.776,3.696,success,noInfo,26.528,2.652,0.79
noInfo,H11Q3081Z4B7,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021 (2).zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 08:21:08.695419,37.016,21.749,3.716,failed,noInfo,0.143,2.652,0.775
noInfo,J09Q3081Z4M1,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021 (2).zip,None_J09Q3081Z4M1,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 08:57:44.472566,50.204,,12.134,failed,noInfo,0.785
noInfo,J09Q3081Z4M1,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021 (2).zip,None_J09Q3081Z4M1,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 08:59:04.960705,17.213,,3.715,failed,noInfo,0.802
noInfo,J09Q3081Z4M1,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021 (2).zip,None_J09Q3081Z4M1,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 09:00:20.792530,37.872,80.142,3.715,failed,noInfo,0.805
noInfo,J09Q3081Z4M1,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021 (2).zip,AC000W016589243,2CD26B5DDA79,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 09:09:19.113056,33.816,21.773,3.721,success,noInfo,26.789,2.64,0.795
noInfo,J09Q3081Z4M1,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W016589244,2CD26B5DDA79,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 10:08:29.307649,38.761,22.281,3.713,success,noInfo,26.538,2.575,0.799
noInfo,J09Q3081Z4M1,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W016589245,2CD26B5DDA79,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 10:11:22.517375,37.758,22.345,3.717,success,noInfo,25.967,2.606,0.786
noInfo,J09Q3081Z4M1,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J09Q3081Z4M1,2CD26B5DDA79,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 10:13:53.374423,37.846,21.579,3.708,failed,noInfo,25.394,2.606,0.799
noInfo,J09Q3081Z4M1,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,AC000W016589246,2CD26B5DDA79,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-04-16 10:18:16.566390,37.964,21.552,3.694,success,noInfo,26.017,2.303,0.79
