operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,X29Q3081A5F2,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,None_X29Q3081A5F2,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 09:28:08.796758,62.291,15.059,3.559,failed,noInfo,,2.543,4.444,0.796
noInfo,X29Q3081A4U8,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,None_X29Q3081A4U8,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 15:10:06.302519,62.292,15.059,3.549,failed,noInfo,,2.543,4.444,0.801
noInfo,X29Q3081A6H4,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021987156,B84D43322256,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 15:11:55.144450,40.437,14.982,13.531,success,noInfo,2.0,2.614,4.578,0.791
noInfo,X29Q3081A6A8,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021987158,B84D43320D5D,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 15:18:26.072343,44.851,15.293,13.53,success,noInfo,2.0,2.602,4.567,0.79
noInfo,X29Q3081A4F6,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021987162,B84D4331F9E7,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 15:20:19.002642,45.056,15.11,13.533,success,noInfo,2.0,2.661,4.558,0.787
noInfo,X29Q3081A6J3,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,None_X29Q3081A6J3,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 15:23:01.580351,110.35,15.11,13.537,failed,noInfo,,2.661,4.558,0.795
noInfo,X29Q3081A3A8,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021987167,B84D4331D9B2,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 15:26:46.964118,40.045,15.495,13.531,success,noInfo,2.0,2.607,4.784,0.798
noInfo,X29Q3081A3A7,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021987171,B84D4331FA13,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 15:33:03.857912,44.677,14.726,13.542,success,noInfo,2.0,2.403,4.438,0.781
noInfo,X29Q3081A3F4,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021987172,B84D4331D8C9,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 15:34:52.577361,45.132,15.01,13.57,success,noInfo,2.0,2.605,4.613,0.787
noInfo,X29Q3081A3A9,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021987174,20579ED0B417,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-02 15:36:48.388674,40.326,15.414,13.539,success,noInfo,2.0,2.61,4.254,0.787
