operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,J29R3081Z2Z5,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,None_J29R3081Z2Z5,,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:06:09.939744,2022-05-02 08:04:58.123739,67.683,27.157,7.678,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.36,4.98,1.103
noInfo,J29R3081Z2Z5,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027333971,F0:B0:40:DC:F2:65,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:08:17.993925,2022-05-02 08:06:54.365571,43.588,27.918,2.941,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.503,4.766,1.052
noInfo,J29R3081Z7J9,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,None_J29R3081Z7J9,,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:09:32.151739,2022-05-02 08:08:51.947899,36.416,27.918,8.43,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.503,4.766,0.981
noInfo,J29R3081Z7J9,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027333980,5C:C5:63:42:04:17,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:11:36.659424,2022-05-02 08:10:14.384787,42.667,27.475,2.932,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.425,4.7,1.004
noInfo,J29R3081Z1U4,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027333988,5C:C5:63:42:15:29,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:13:17.999207,2022-05-02 08:11:54.773575,43.435,27.777,7.506,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.061,5.147,1.005
noInfo,J29R3081Z1R7,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027333995,5C:C5:63:42:20:02,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:16:13.572018,2022-05-02 08:14:49.443638,43.904,27.342,7.718,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.6,5.441,1.028
noInfo,J29R3081Z2Z6,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027334001,F0:B0:40:DC:C3:AF,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:17:51.909978,2022-05-02 08:16:30.593862,42.903,26.897,7.566,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.228,4.631,0.972
noInfo,J29R3081Z1Q9,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027334006,F0:B0:40:DC:EA:88,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:20:00.953033,2022-05-02 08:18:35.018197,45.602,27.103,7.575,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.498,5.637,1.023
noInfo,J29R3081Z1Q8,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027334012,F0:B0:40:75:08:B6,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:21:59.768407,2022-05-02 08:20:35.347978,44.56,27.29,7.669,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.514,5.248,1.0
noInfo,J29R3081Z1K8,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,None_J29R3081Z1K8,,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-02 08:23:43.588729,2022-05-02 08:22:31.685457,67.845,27.29,7.689,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,2.514,5.248,1.011
