operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,K09R3081K9Z6,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349556,F0:B0:40:DC:E7:67,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:02:27.132425,2022-05-10 08:01:00.856788,44.913,27.503,7.702,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.139,2.501,5.948
noInfo,K09R3081K8U3,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349566,5C:C5:63:42:00:8A,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:07:34.399257,2022-05-10 08:06:09.861595,44.358,27.226,7.62,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.046,2.261,5.642
noInfo,K09R3081K8U0,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349572,F0:B0:40:DC:C5:00,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:09:37.561733,2022-05-10 08:08:13.707077,42.743,28.199,7.62,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.032,2.534,5.378
noInfo,K09R3081K8R9,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349580,F0:B0:40:DC:E8:66,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:13:11.193093,2022-05-10 08:11:09.799102,46.032,27.685,7.647,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.195,2.459,5.429
noInfo,K09R3081K8Q8,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349590,F0:B0:40:DC:E7:97,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:16:23.092867,2022-05-10 08:14:58.868565,43.852,27.431,7.629,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.06,2.546,5.416
noInfo,K09R3081K8R5,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,None_K09R3081K8R5,,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:19:19.004573,2022-05-10 08:16:59.757045,110.532,27.431,7.484,failed,noInfo,,,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.049,2.546,5.416
noInfo,K09R3081K8R5,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349605,F0:B0:40:DC:C1:E6,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:20:51.819793,2022-05-10 08:19:26.754631,45.454,27.042,2.92,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.014,2.454,5.243
noInfo,K09R3081K8K0,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349613,5C:C5:63:42:54:A7,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:23:53.254189,2022-05-10 08:22:29.230613,43.906,27.366,8.0,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.074,2.446,5.191
noInfo,K09R3081K8H9,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349621,5C:C5:63:42:17:CF,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:26:22.139118,2022-05-10 08:24:57.945563,43.418,27.853,7.872,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.037,2.562,5.274
noInfo,K09R3081K8J6,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349627,5C:C5:63:42:54:8C,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:28:17.220863,2022-05-10 08:26:52.467959,44.233,27.744,7.597,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.997,2.596,5.192
noInfo,K09R3081K8F8,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349633,5C:C5:63:42:17:0A,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:30:01.638725,2022-05-10 08:28:37.574331,43.135,27.76,7.511,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.982,2.52,5.268
noInfo,K09R3081K8F1,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349641,5C:C5:63:42:56:D2,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:32:55.799898,2022-05-10 08:31:13.927538,54.52,26.79,7.829,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.118,2.234,5.134
noInfo,K09R3081K8A7,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349648,5C:C5:63:42:54:96,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:34:53.150853,2022-05-10 08:33:27.997787,45.042,27.222,7.674,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.045,2.524,5.156
noInfo,K09R3081K8R0,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349654,F0:B0:40:DC:C5:14,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:36:43.562317,2022-05-10 08:35:18.621604,44.517,27.364,7.574,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.071,2.536,5.53
noInfo,K09R3081Q0H4,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349660,F0:B0:40:DD:37:E2,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:38:40.036845,2022-05-10 08:37:16.006286,43.332,27.892,7.613,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.233,2.528,5.226
noInfo,K09R3081K7U6,AV2510S0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027349667,F0:B0:40:DD:2D:EE,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-05-10 08:41:32.175956,2022-05-10 08:40:07.480461,43.749,28.264,8.244,success,noInfo,2.0,0x00,music-vmusic-V3.1,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.047,2.358,5.347
