operator,deviceSN,deviceSKU,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 08:24:24.439429,37.285,22.06,3.634,success,noInfo,0.762
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 08:53:19.526633,42.624,21.461,3.6,success,noInfo,0.761
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 09:36:35.843341,32.51,21.847,3.604,success,noInfo,0.765
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 09:46:45.304841,39.617,21.41,3.649,success,noInfo,0.752
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 09:50:21.891611,37.953,21.566,3.635,success,noInfo,0.767
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 09:53:39.019569,38.199,21.512,3.646,success,noInfo,0.75
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 09:56:21.107857,37.219,22.15,3.639,success,noInfo,0.765
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 10:28:42.949381,44.11,21.613,3.654,success,noInfo,0.757
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 10:44:11.341907,29.927,21.613,3.634,failed,noInfo,0.747
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 10:47:01.614219,37.282,21.669,3.645,success,noInfo,0.763
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 10:59:55.996395,33.463,22.355,3.643,success,noInfo,0.753
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:02:39.900231,28.697,22.355,3.633,failed,noInfo,0.768
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:20:55.297555,33.159,22.266,3.647,success,noInfo,0.758
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:26:53.482634,38.198,21.732,3.635,success,noInfo,0.758
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:33:31.440635,15.722,21.732,3.647,failed,noInfo,0.76
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:34:41.760388,44.366,22.477,3.647,success,noInfo,0.752
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:41:04.794165,38.369,21.578,3.641,success,noInfo,0.764
