operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,R14Q3081F6A4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R14Q3081F6A4,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 08:35:14.920578,15.778,,2.745,failed,noInfo,0.815
noInfo,R14Q3081F6A4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R14Q3081F6A4,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 08:38:26.815704,15.779,,2.762,failed,noInfo,0.828
noInfo,R14Q3081F6A4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R14Q3081F6A4,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 08:42:55.638196,17.284,,2.747,failed,noInfo,1.014
noInfo,R14Q3081F6A4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R14Q3081F6A4,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 08:44:26.846351,15.815,,2.734,failed,noInfo,0.815
noInfo,R14Q3081F6A4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R14Q3081F6A4,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 09:10:40.989999,15.823,,2.732,failed,noInfo,0.807
noInfo,R14Q3081F6A4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R14Q3081F6A4,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 09:11:55.426155,15.84,,2.744,failed,noInfo,0.806
noInfo,R14Q3081F6A4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R14Q3081F6A4,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 09:12:44.481814,15.815,,2.744,failed,noInfo,0.808
noInfo,R16Q3081H1R1,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,AC000W021457990,20579E48F1D6,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 13:33:18.552560,27.627,23.731,3.189,success,noInfo,2.182,2.604,0.813
noInfo,R14Q3081F6A4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R14Q3081F6A4,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 13:36:12.268558,15.817,23.731,2.745,failed,noInfo,2.182,2.604,0.82
noInfo,R14Q3081F6A4,RV2520A0US,10B01XX00XX1000XXXX0100XXX0XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R14Q3081F6A4,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-07-17 13:37:26.066162,15.835,23.731,2.746,failed,noInfo,2.182,2.604,0.809
