operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,S30Q303SZ0H1,RV2520A0CA,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S30Q303SZ0H1,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 19:23:36.885473,62.621,33.009,10.701,failed,noInfo,,0.843,4.796,3.212
noInfo,S30Q303SZ0H1,RV2520A0CA,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S30Q303SZ0H1,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 19:27:02.816052,62.638,33.009,2.898,failed,noInfo,,0.85,4.796,3.212
noInfo,S30Q303SZ0H1,RV2520A0CA,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S30Q303SZ0H1,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 19:36:39.400017,62.673,33.009,2.903,failed,noInfo,,0.857,4.796,3.212
noInfo,R24Q303SZ0F0,RV2520A0US,10B011100XX1000A1XX0100PP50XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_R24Q303SZ0F0,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 19:53:41.711618,62.847,,10.694,failed,noInfo,,0.84,None,None
noInfo,R24Q303SZ0F0,RV2520A0US,10B011100XX1000A1XX0100PP50XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_R24Q303SZ0F0,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 19:55:16.252360,135.012,,2.904,failed,noInfo,,0.839,None,None
noInfo,S31Q3081Z5A8,RV2520A0CA,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S31Q3081Z5A8,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 19:58:54.547679,62.972,,2.904,failed,noInfo,,0.897,None,None
noInfo,S31Q3081Z5A8,RV2520A0CA,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S31Q3081Z5A8,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 20:01:02.322233,62.909,,2.9,failed,noInfo,,0.861,None,None
noInfo,S31Q3081Z5A8,RV2520A0CA,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S31Q3081Z5A8,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 20:11:07.179601,62.947,,2.907,failed,noInfo,,0.853,None,None
noInfo,S31Q3081Z5A8,RV2520A0CA,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S31Q3081Z5A8,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 20:13:35.434757,62.868,,2.914,failed,noInfo,,0.84,None,None
noInfo,S31Q3081Z5A8,RV2520A0CA,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S31Q3081Z5A8,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 20:17:37.202356,62.904,,2.916,failed,noInfo,,0.876,None,None
noInfo,S31Q3081Z5A8,RV2520A0CA,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S31Q3081Z5A8,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-07 20:19:39.321874,62.811,,2.913,failed,noInfo,,0.861,None,None
