operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,F11R3081H4F5,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184265,B8:4D:43:FC:AB:8E,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 11:41:26.479966,2022-02-17 11:39:59.852460,53.993,18.059,8.288,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.383,4.348,4.438
noInfo,F11R3081H4F3,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184269,B8:4D:43:FC:C6:79,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 11:43:50.307639,2022-02-17 11:42:23.880039,54.335,17.547,8.276,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.382,4.41,4.498
noInfo,F11R3081H4F0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184274,B8:4D:43:FC:C7:1C,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 11:46:38.679234,2022-02-17 11:45:11.438939,52.873,17.768,8.316,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.492,4.399,6.562
noInfo,F11R3081H4A4,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184279,B8:4D:43:FC:CF:ED,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 11:50:09.759727,2022-02-17 11:48:43.109478,54.515,17.866,8.342,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.355,4.292,4.463
noInfo,F11R3081H4Z5,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184283,B8:4D:43:FC:AB:91,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 11:51:47.543712,2022-02-17 11:50:26.227296,49.479,17.234,8.329,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.527,4.766,4.363
noInfo,F11R3081H4Z1,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184288,B8:4D:43:FC:AB:90,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 11:54:00.335264,2022-02-17 11:52:34.752627,52.949,17.951,8.285,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.376,4.716,4.424
noInfo,F11R3081H3U7,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184292,B8:4D:43:FC:C7:1B,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 11:56:31.639378,2022-02-17 11:55:11.284687,48.607,17.767,8.295,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.36,4.1,4.512
noInfo,F11R3081H4F2,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184296,B8:4D:43:FC:C6:0C,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 11:58:17.451231,2022-02-17 11:56:53.254871,52.792,17.2,8.292,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.371,4.382,4.372
noInfo,F11R3081H4H6,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184300,B8:4D:43:FC:BA:23,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 12:00:20.325066,2022-02-17 11:58:54.875489,53.248,18.1,8.34,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.365,4.182,4.451
noInfo,F11R3081H3U1,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184306,F0:B0:40:74:9B:99,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:31:36.511887,2022-02-17 13:30:10.087407,53.15,17.795,8.302,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.372,4.125,5.738
