operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,F28R3081A1J1,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201621,B84D4331D2BB,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 09:13:58.453605,44.962,17.347,3.54,success,noInfo,2.0,2.814,4.469,0.813
noInfo,F28R3081A1Z3,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201629,B84D4331F314,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 09:28:57.950161,38.888,17.577,13.548,success,noInfo,2.0,2.484,4.644,0.782
noInfo,F28R3081A0Q1,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201663,B84D4331D685,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 10:10:48.876786,51.318,17.268,13.587,success,noInfo,2.0,2.823,4.657,0.792
noInfo,F28R3081A2Z9,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201668,B84D4331F30D,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 10:13:11.036122,44.261,17.543,3.562,success,noInfo,2.0,2.797,4.743,0.784
noInfo,F28R3081A0H7,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201673,B84D43324FD8,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 10:16:13.887638,51.638,17.36,13.569,success,noInfo,2.0,2.735,4.574,0.794
noInfo,F28R3081A0H4,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201678,B84D43324F37,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 10:18:39.788922,45.017,17.328,13.545,success,noInfo,2.0,2.862,4.62,0.802
noInfo,F28R3081A0H0,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201681,B84D4331EF11,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 10:20:54.134894,44.572,17.136,13.534,success,noInfo,2.0,2.807,4.309,0.781
noInfo,F28R3081A0H2,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201686,B84D4331EF72,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 10:23:45.067230,44.18,17.182,13.593,success,noInfo,2.0,2.584,4.509,0.793
noInfo,F28R3081A0F2,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201690,B84D4331E1DE,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 10:25:42.424579,44.449,17.388,13.579,success,noInfo,2.0,2.818,4.514,0.782
noInfo,F28R3081A2S8,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201693,B84D4331ECF0,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 10:27:37.906703,45.196,17.512,13.567,success,noInfo,2.0,2.769,4.461,0.785
noInfo,F28R3081A0F5,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201713,B84D4331F67D,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 11:04:31.128974,50.84,17.549,13.557,success,noInfo,2.0,2.735,4.607,0.79
noInfo,F28R3081A0A1,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W022201716,B84D43321202,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-03-07 11:06:24.108847,44.906,17.333,13.578,success,noInfo,2.0,2.844,4.691,0.791
