operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,J05R3081A3A2,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629008,5C:C5:63:57:09:0C,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:01:54.849543,2022-04-12 08:00:28.942391,43.614,27.894,7.837,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.355,5.117,1.04
noInfo,J05R3081A3Z1,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629011,5C:C5:63:57:09:EE,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:03:57.461654,2022-04-12 08:02:28.847356,46.06,27.614,7.747,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.91,5.132,1.642
noInfo,J05R3081A2S9,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629017,F0:B0:40:74:D6:AC,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:06:39.588724,2022-04-12 08:05:10.031897,43.751,27.01,7.504,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,8.723,5.034,1.004
noInfo,J05R3081A3Z3,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629023,5C:C5:63:57:09:F6,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:09:05.795308,2022-04-12 08:07:41.104543,43.791,27.679,7.601,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.447,4.821,0.993
noInfo,J05R3081A2S4,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629029,5C:C5:63:56:FD:51,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:13:04.473492,2022-04-12 08:11:38.321324,43.761,28.032,7.631,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.376,5.042,1.083
noInfo,J05R3081A2R7,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629035,F0:B0:40:DC:DD:EE,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:15:27.596090,2022-04-12 08:14:02.647629,43.536,27.554,7.624,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.891,4.879,0.995
noInfo,J05R3081A2R5,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629041,F0:B0:40:DC:EE:8B,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:17:50.019686,2022-04-12 08:16:25.663034,42.609,26.798,7.658,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.707,5.053,1.018
noInfo,J05R3081A2R0,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629047,F0:B0:40:DD:0C:E3,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:19:56.521611,2022-04-12 08:18:29.107373,44.7,27.549,7.578,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.315,5.243,1.012
noInfo,J05R3081A2Q6,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629052,F0:B0:40:DC:BF:37,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:22:01.612252,2022-04-12 08:20:31.485195,45.557,27.509,7.7,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,6.149,5.405,0.987
noInfo,J05R3081A2Q0,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629062,F0:B0:40:DC:E4:F6,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:28:00.457893,2022-04-12 08:26:34.976119,43.746,27.248,7.607,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.399,4.909,1.141
noInfo,J05R3081A2K5,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026629069,F0:B0:40:DC:F0:98,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-12 08:30:58.740690,2022-04-12 08:29:32.356322,43.654,27.898,7.48,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.614,5.202,1.009
