operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,J21R3081A4J1,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027151975,F0:B0:40:DD:07:20,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:03:10.455526,2022-04-20 08:01:41.647936,46.438,27.752,7.689,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.925,4.789,1.013
noInfo,J21R3081A4H6,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027151984,F0:B0:40:DC:B9:59,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:08:45.100844,2022-04-20 08:07:19.450563,42.984,28.165,7.68,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.509,4.951,1.023
noInfo,J21R3081A4A6,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027151997,F0:B0:40:DD:33:BF,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:14:04.731885,2022-04-20 08:12:42.466995,42.167,26.056,7.624,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.01,5.131,1.002
noInfo,J21R3081A4A3,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027152002,F0:B0:40:DC:B8:F3,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:15:43.041590,2022-04-20 08:14:17.693496,43.011,28.036,7.724,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.472,4.759,1.111
noInfo,J21R3081F9F8,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027152008,F0:B0:40:DD:06:E1,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:17:49.961481,2022-04-20 08:16:23.387744,44.489,27.605,7.753,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.481,5.025,1.006
noInfo,J21R3081A4Z4,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027152014,F0:B0:40:DC:FF:CA,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:21:43.114065,2022-04-20 08:20:18.184621,42.876,27.714,7.523,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.389,4.999,1.024
noInfo,J21R3081A3U5,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027152021,F0:B0:40:75:12:5E,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:24:15.184491,2022-04-20 08:22:50.262751,43.112,27.45,7.609,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.908,5.429,0.993
noInfo,J21R3081A3S2,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027152032,F0:B0:40:DD:0B:9A,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:29:52.941036,2022-04-20 08:28:26.075475,45.495,27.238,7.74,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.195,4.99,1.012
noInfo,J21R3081A3R8,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027152039,F0:B0:40:DD:00:1C,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:32:24.040924,2022-04-20 08:30:56.540880,44.06,28.119,7.856,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.736,5.411,1.237
noInfo,J21R3081A3R3,UR250BE0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,None_J21R3081A3R3,,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-20 08:35:03.717289,2022-04-20 08:33:11.446345,107.646,28.119,7.561,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.736,5.411,1.025
