operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,J19R3081J7K6,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,None_J19R3081J7K6,,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:06:58.995911,2022-04-22 08:05:08.094368,106.799,27.602,7.504,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.014,4.92,5.152
noInfo,J19R3081J7K6,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027155479,F0:B0:40:DD:14:BB,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:08:48.891186,2022-04-22 08:07:22.956316,44.141,27.905,2.908,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.016,3.985,5.038
noInfo,J19R3081J6U2,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,None_J19R3081J6U2,,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:11:04.383654,2022-04-22 08:09:40.631607,79.698,27.905,7.815,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.002,3.985,5.038
noInfo,J19R3081J6U2,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,None_J19R3081J6U2,,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:12:57.149587,2022-04-22 08:11:45.147856,68.02,27.905,2.93,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.026,3.985,5.038
noInfo,J19R3081J6U2,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027155496,F0:B0:40:DC:B8:6D,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:18:07.909589,2022-04-22 08:16:42.026902,44.069,27.688,2.891,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.017,4.065,4.974
noInfo,J19R3081J6Q3,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027155503,F0:B0:40:DC:F0:D0,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:20:47.984257,2022-04-22 08:19:22.247110,44.009,27.829,7.471,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,0.999,3.911,5.038
noInfo,J19R3081J6K0,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027155509,F0:B0:40:75:2A:39,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:22:57.867785,2022-04-22 08:21:32.593285,43.876,27.632,7.437,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.015,3.855,4.98
noInfo,J19R3081J6J7,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027155516,F0:B0:40:DD:08:7C,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:27:42.947107,2022-04-22 08:26:13.646159,46.945,27.321,7.584,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.082,4.869,5.086
noInfo,J19R3081J6H5,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027155522,F0:B0:40:DC:E4:B2,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:30:11.420824,2022-04-22 08:28:44.390702,45.434,27.478,7.665,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.011,4.21,4.885
noInfo,J19R3081J6F6,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027155531,F0:B0:40:DC:F0:C7,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:34:07.668380,2022-04-22 08:32:38.245480,47.041,27.32,7.636,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.01,5.046,5.053
noInfo,J19R3081J6F0,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027155540,F0:B0:40:DC:F0:41,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:37:45.716053,2022-04-22 08:36:18.708033,44.625,27.661,7.554,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.134,4.713,5.099
noInfo,J19R3081J6A2,RV2520A0US,10B061100XXA0001AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W027155550,F0:B0:40:DD:14:58,8c:ec:4b:87:e0:b3,KAY-DT-03,2022-04-22 08:41:55.684350,2022-04-22 08:40:30.388290,43.335,27.627,7.545,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,1.198,4.494,4.94
