operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,Z03Q303SZ0Z7,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,None_Z03Q303SZ0Z7,20579ED368E8,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:21:01.451083,49.175,22.783,8.097,failed,noInfo,2.0,2.291,3.263,0.807
noInfo,Z03Q303SZ0Z9,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,None_Z03Q303SZ0Z9,20579ED36868,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:25:18.262529,52.911,22.723,8.06,failed,noInfo,2.0,2.262,3.182,0.81
noInfo,Z03Q303SZ0Z9,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,None_Z03Q303SZ0Z9,20579ED36868,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:27:15.508134,53.992,22.287,2.287,failed,noInfo,2.0,2.247,3.162,0.805
noInfo,Z03Q303SZ0Z9,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,AC000W021964098,20579ED36868,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:45:03.455023,53.896,23.06,2.281,success,noInfo,2.0,2.754,3.508,0.81
noInfo,Z03Q303SZ0F0,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,None_Z03Q303SZ0F0,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:46:46.130183,62.815,23.06,8.098,failed,noInfo,,2.754,3.508,0.798
noInfo,Z03Q303SZ0F0,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,AC000W021964102,20579ED36873,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:48:21.719049,52.937,22.505,2.297,success,noInfo,2.0,2.966,3.409,0.807
noInfo,Z03Q3081Z1Z2,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,AC000W021964104,20579ED36871,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:50:13.022238,53.799,22.9,8.073,success,noInfo,2.0,2.74,3.115,0.808
noInfo,Z03Q3081Z1A9,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,AC000W021964106,20579ED368EE,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:51:52.331190,52.579,22.873,8.074,success,noInfo,2.0,2.799,3.194,0.803
noInfo,Z03Q3081Z1F1,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,AC000W021964108,20579ED36978,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:53:34.131395,54.883,22.521,8.086,success,noInfo,2.0,2.752,3.228,0.802
noInfo,Z03Q3081Z1A3,RV2500S0EU,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.18.2_rc1_FV1.4.8_ST2.2.030_M0.1.3_GM1.1.3_21.16_Sep302021.zip,AC000W021964110,20579ED3690F,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-10-06 16:55:47.901368,52.179,23.006,8.052,success,noInfo,2.0,2.685,3.129,0.833
