operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,U16Q3233Z7A1,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,None_U16Q3233Z7A1,,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:14:42.723585,46.967,16.364,3.838,failed,noInfo,,5.739,5.087,1.037
noInfo,U16Q3233Z7A4,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314821,20579ED0188B,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:20:21.501321,54.608,16.359,15.242,success,noInfo,2.0,3.531,4.947,1.003
noInfo,U15Q3233Z7H2,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314825,20579ED02E31,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:22:23.646683,60.614,15.415,21.019,success,noInfo,2.0,4.261,5.016,1.013
noInfo,U16Q3233Z3U4,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314829,20579E39A48F,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:24:46.970569,40.734,16.491,3.861,success,noInfo,2.0,3.688,4.653,1.12
noInfo,U16Q3233Z4J9,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314835,309587ABB6D3,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:27:04.410551,59.388,16.059,3.782,success,noInfo,2.0,5.619,4.997,1.2
noInfo,U16Q3233Z7F1,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314839,20579E3983E2,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:29:03.077975,59.18,15.851,19.706,success,noInfo,2.0,5.673,4.824,1.079
noInfo,U17Q3233Z0Z5,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314842,20579ED0171A,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:30:48.445359,58.871,15.551,18.3,success,noInfo,2.0,3.447,4.881,1.038
noInfo,U16Q3233Z7F2,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314844,20579ED034B1,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:33:32.535787,62.031,16.24,21.478,success,noInfo,2.0,5.33,4.816,1.05
noInfo,U17Q3233Z0Z7,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314849,20579ED010CC,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:35:20.894094,59.223,16.06,18.616,success,noInfo,2.0,3.476,5.816,1.101
noInfo,U17Q3233Z0Z1,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314853,20579E1B8C13,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:37:05.713166,62.039,15.463,21.291,success,noInfo,2.0,3.986,4.712,1.145
