1,,lower,upper,isFlag,uniqueCode,,return_info,tryPerio,tryTimes
*DS1,进入测试模式Enter Debug Mode,1,1,1,setTestMode_ON,,,200,3
?WX,读取10位机型信息SKU （判断长度）,28,28,1,checkQRCode_cal,,,200,6
?WZ,检测MCUAPP版本,1.1.62,1.1.62,1,checkMCUVersion,,,200,6
DU0,标定左Cliff Sensor(Front Left Cliff),0,0,1,leftCliffCal,10,,200,6
DU1,标定右Cliff Sensor(Front Right Cliff),0,0,1,RightCliffCal,10,,200,6
DU2,标定中间左Cliff Sensor(Middle Left Cliff),0,0,1,MiddleLCliffCal,10,,200,6
DU3,标定中间右Cliff Sensor(Middle Right Cliff),0,0,1,MiddleRCliffCal,10,,200,6
?DH0,检测左Cliff Sensor(Front Left Cliff),50,420,1,JudgeleftCliffCal,10,,200,6
?DH1,检测右Cliff Sensor(Front Right Cliff),50,420,1,JudgeRightCliffCal,10,,200,6
?DH2,检测中间左Cliff Sensor(Middle Left Cliff),50,420,1,JudgeMiddleLCliffCal,10,,200,6
?DH3,检测中间右Cliff Sensor(Middle Right Cliff),50,420,1,JudgeMiddleRCliffCal,10,,200,6
?DU6,检测沿墙右Cliff Sensor(Along wall Sensor (R)),0,70,1,AloneWallRIRCal,10,,200,6
?DU7,检测沿墙左Cliff Sensor(Along Wall Sensor (L)),0,70,1,AloneWallLIRCal,10,,200,6
?DU8,检测左前FWD IR(Front FWD Array (L)),0,70,1,FrontFWDLCal,10,,200,6
?DU9,检测中间FWD IR(Front FWD Array (C)),0,70,1,FrontFWDCCal,10,,200,6
?DUA,检测右前FWD IR(Front FWD Array (R)),0,70,1,FrontFWDRCal,10,,200,6
?WG0,检测BDP成功标志,2,2,1,checkBDPFlag,,,200,6
?WI,检测WiFi SCM 版本信息（比对版本）,2.4.50,2.4.50,1,checkWifiVersion,,,200,40
?MA,check lidar model,0.1,0.1,1,checkLidarModel,,,300,10
?MA,check lidar HW version,1.0.1.0,1.0.1.0,1,checkLidarHW_Ver,,,300,10
?MA,check lidar FW version,0.0.1.2,0.0.1.2,1,checkLidarFW_Ver,,,300,10
*WG12,写入Cliff标定成功标志,2,2,1,setCliffCalPass,,,200,3
?WG1,检测Cliff成功标志1,2,2,1,checkCliffCalState,,,200,10
*MD1,开启雷达电源,,,1,setLidar_PowerON,,,200,3
*MF,开始标定雷达,,,1,lidarCal_ON,,,200,3
delay,,8,,,lidarCal_delay,,,,
MH,写入标定雷达结果,,,1,setLidarCalValue,,,300,3
?WB,读取雷达序列号（判断长度）,32,32,1,checkLidarSN,,,500,10
?MF,判断lidar标定结果是否符合范围,-5,5,1,checkLidarCalValue,,,200,6
?NS,IMU自检,111103,111103,0,checkIMUStatus,,,200,6
?WU,检查DSN,15,15,1,checkDSN,,,200,6
?WN,导航版版本查询,6.6.a,6.6.a,1,checkNavVersion,,,200,6
?WY,读取检测MAC,12,12,1,checkWIFIandMAC,,,200,10
?WJ,查询robot Macaddress,12,12,1,robotMacAddress,,,200,5
?WM,HWD自检,32,32,1,checkHWD_self,,,200,5
?PD,查询PCBA硬件信息Check PCBA Hardware build Info,zp64,zp64,0,checkPcbaHWInfo,,,200,6
?PH,查询PCBA软件信息Check PCBA Hardware build Info,zp64,zp64,0,checkPcbaFWInfo,,,200,6
PD=PH,判断PD=PH Validate PD=PH,1,1,0,validatePD_PH,,,200,6
*WG62,写入Lidar成功标志1,2,2,1,setLidarCalPass,,,200,3
?WG6,检测Lidar成功标志1,2,2,1,checkLidarCalState,,,200,10
*DS0,退出测试模式,,,1,setTestMode_OFF,,,200,3
?DS,确认退出测试模式,0,0,1,checkTestMode_OFF,,,200,10
