operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,F11R3081F4U2,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185313,F0:B0:40:74:9B:FE,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:09:47.193474,2022-02-18 10:08:20.493880,52.147,19.457,8.647,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.403,4.372,4.965
noInfo,F11R3081F5J9,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185316,B8:4D:43:FC:C6:B5,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:12:16.290299,2022-02-18 10:10:56.891470,47.072,17.816,8.334,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.37,4.457,4.501
noInfo,F11R3081F4R8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185321,B8:4D:43:FC:B2:E4,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:14:09.664770,2022-02-18 10:12:43.164867,54.924,17.468,8.287,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.416,4.198,4.377
noInfo,F11R3081F5F7,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185325,B8:4D:43:FC:C7:F5,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:16:06.836438,2022-02-18 10:14:40.220090,54.877,17.735,8.302,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.478,4.182,4.335
noInfo,F11R3081F8R3,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185332,B8:4D:43:FC:98:55,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:18:30.291870,2022-02-18 10:17:05.273192,53.072,17.826,8.336,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.4,4.383,4.321
noInfo,F11R3081F5A8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185339,B8:4D:43:FC:C7:BC,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:20:49.381200,2022-02-18 10:19:23.880139,53.531,17.616,8.306,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.517,4.466,4.418
noInfo,F11R3081F4Q3,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185349,F0:B0:40:74:97:8B,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:25:24.328531,2022-02-18 10:23:59.097099,53.358,17.793,8.306,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.586,4.267,4.273
noInfo,F11R3081F4K4,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185354,B8:4D:43:FC:D1:DE,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:27:20.442192,2022-02-18 10:25:55.493163,53.221,17.7,8.291,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.396,4.31,4.276
noInfo,F11R3081F4K6,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185365,B8:4D:43:FC:B3:52,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:31:41.179882,2022-02-18 10:30:16.179816,51.491,16.967,8.262,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.45,6.698,4.305
noInfo,F11R3081F5Z0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185372,F0:B0:40:74:9D:59,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:36:03.609533,2022-02-18 10:34:39.603794,52.227,17.842,8.276,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.481,4.207,4.229
noInfo,F11R3081F4H8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185377,B8:4D:43:FC:D5:59,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:37:55.511193,2022-02-18 10:36:27.651784,54.406,18.575,8.343,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.361,5.233,4.305
noInfo,F11R3081H8R8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185388,B8:4D:43:FC:A9:41,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:44:14.183448,2022-02-18 10:42:49.539842,52.713,17.693,8.293,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.429,4.405,4.418
noInfo,F11R3081H0S6,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022185397,F0:B0:40:74:9E:30,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 10:49:11.393426,2022-02-18 10:47:46.369864,53.122,17.683,8.295,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.431,4.333,4.254
