operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,H28R3081F1K6,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611220,F0:B0:40:74:D0:E4,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:08:01.293160,2022-03-30 09:06:31.419643,46.042,27.273,2.964,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.881,5.741,0.941
noInfo,H28R3081F0F7,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611229,F0:B0:40:74:CB:17,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:11:25.162505,2022-03-30 09:09:58.680035,43.015,28.222,7.682,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.348,5.801,0.89
noInfo,H28R3081A3Z8,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611240,F0:B0:40:74:ED:7D,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:16:34.093284,2022-03-30 09:15:08.759106,43.277,27.575,7.686,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.535,5.117,0.908
noInfo,H28R3081A3Z7,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611245,F0:B0:40:74:EF:E8,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:18:31.219278,2022-03-30 09:17:00.535315,44.224,28.098,7.425,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,6.701,5.484,1.039
noInfo,H28R3081A3Z3,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611253,F0:B0:40:74:D2:68,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:20:58.368191,2022-03-30 09:19:31.649857,43.421,27.848,7.408,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,5.457,5.187,0.943
noInfo,H28R3081F0A7,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611258,F0:B0:40:74:ED:9F,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:22:56.047131,2022-03-30 09:21:29.340203,44.046,28.015,7.496,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.447,5.276,1.201
noInfo,H28R3081F1U1,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611264,F0:B0:40:74:D3:98,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:25:13.144403,2022-03-30 09:23:21.776712,46.054,28.973,7.493,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.427,5.391,0.894
noInfo,H28R3081A3A0,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611271,F0:B0:40:74:C8:F6,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:27:01.079666,2022-03-30 09:25:35.149490,43.194,28.115,7.653,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.163,5.093,0.95
noInfo,H28R3081F1U4,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611278,F0:B0:40:74:BE:8C,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:29:21.882476,2022-03-30 09:27:56.034715,43.395,28.223,8.08,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.929,5.284,1.784
noInfo,H28R3081A3F2,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026611284,F0:B0:40:74:BD:C1,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-30 09:31:05.326126,2022-03-30 09:29:38.623802,42.976,28.522,7.873,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.194,6.082,0.933
