operator,deviceSN,deviceSKU,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:02:51.482350,15.803,,3.661,failed,noInfo,0.755
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:04:41.820167,15.752,,3.678,failed,noInfo,0.798
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:06:39.105801,15.768,,3.681,failed,noInfo,0.761
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:07:06.379323,15.764,,3.679,failed,noInfo,0.784
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:07:53.972584,15.753,,3.719,failed,noInfo,0.791
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:08:56.907398,17.214,,3.728,failed,noInfo,0.793
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:09:23.996997,43.721,16.168,3.711,failed,noInfo,0.785
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:12:01.193898,15.633,16.168,3.709,failed,noInfo,0.784
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:12:30.049576,15.633,16.168,3.738,failed,noInfo,0.788
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:16:27.634065,15.666,,3.716,failed,noInfo,0.796
