operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,,,
noInfo,R14Q3081K5S4,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452383,20579E4914E7,a4:bb:6d:ce:ca:1c,KAY-DT-43,21:20.9,32.2,22.616,10.728,success,noInfo,2.05,2.061,0.834
noInfo,R14Q3081K5K8,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452403,20579E48F0CA,a4:bb:6d:ce:ca:1c,KAY-DT-43,23:02.7,33.208,23.584,10.792,success,noInfo,1.986,2.033,0.828
noInfo,R14Q3081K5R8,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452413,20579E48FF76,a4:bb:6d:ce:ca:1c,KAY-DT-43,24:56.4,31.416,23.106,10.76,success,noInfo,1.984,1.589,0.832
noInfo,R14Q3081K5Q4,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452428,20579E49070B,a4:bb:6d:ce:ca:1c,KAY-DT-43,26:58.3,29.567,21.79,10.753,success,noInfo,1.891,1.611,0.821
noInfo,R14Q3081K5J9,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452434,309587F2C5F8,a4:bb:6d:ce:ca:1c,KAY-DT-43,28:29.1,26.336,22.502,10.855,success,noInfo,1.917,1.69,0.825
noInfo,R14Q3081K5J5,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452449,20579E491436,a4:bb:6d:ce:ca:1c,KAY-DT-43,29:46.4,28.848,23.076,11.286,success,noInfo,2.014,1.694,0.824
noInfo,R14Q3081K5K5,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452459,20579E491457,a4:bb:6d:ce:ca:1c,KAY-DT-43,31:41.0,33.479,22.856,11.017,success,noInfo,1.968,1.66,0.815
noInfo,R14Q3081K5J3,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452469,20579E48F167,a4:bb:6d:ce:ca:1c,KAY-DT-43,33:06.5,26.093,22.028,10.819,success,noInfo,1.998,1.624,0.807
noInfo,R14Q3081K5J4,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452480,20579E4902FD,a4:bb:6d:ce:ca:1c,KAY-DT-43,34:46.4,30.096,22.559,10.575,success,noInfo,2.03,1.635,0.819
noInfo,R14Q3081K5J8,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452491,20579E490291,a4:bb:6d:ce:ca:1c,KAY-DT-43,36:28.6,32.8,21.762,10.771,success,noInfo,1.99,1.716,0.822
noInfo,R14Q3081K5H1,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452497,20579E490971,a4:bb:6d:ce:ca:1c,KAY-DT-43,38:36.1,31.192,22.951,10.624,success,noInfo,1.996,1.621,0.823
noInfo,R14Q3081K5F9,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452511,20579E490970,a4:bb:6d:ce:ca:1c,KAY-DT-43,44:28.6,31.413,22.755,10.717,success,noInfo,1.963,1.601,0.819
noInfo,R14Q3081K5H4,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452522,20579E48FF07,a4:bb:6d:ce:ca:1c,KAY-DT-43,47:31.1,30.369,22.269,10.439,success,noInfo,1.934,1.639,0.823
noInfo,R14Q3081K5K9,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452532,20579E4900E0,a4:bb:6d:ce:ca:1c,KAY-DT-43,49:28.0,32.587,22.658,11.195,success,noInfo,2.059,1.605,0.818
noInfo,R14Q3081K5A7,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452539,20579E48FE21,a4:bb:6d:ce:ca:1c,KAY-DT-43,51:39.9,33.155,23.6,10.835,success,noInfo,1.982,1.612,0.814
noInfo,R14Q3081K5A9,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452551,20579E48F415,a4:bb:6d:ce:ca:1c,KAY-DT-43,54:27.7,32.42,21.752,10.855,success,noInfo,2.02,1.636,0.823
noInfo,R14Q3081K5F0,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,AC000W021452557,20579E490B11,a4:bb:6d:ce:ca:1c,KAY-DT-43,55:58.3,31.754,22.659,10.62,success,noInfo,2.015,1.569,0.819
