operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,R31Q3081H7S0,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H7S0,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 21:22:03.313435,82.25,,3.188,failed,noInfo,0.835
noInfo,R31Q3081H7K7,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H7K7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 21:31:33.483765,62.17,,10.831,failed,noInfo,0.833
noInfo,R31Q3081H7K7,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H7K7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 21:33:38.412612,62.262,,3.186,failed,noInfo,0.829
noInfo,R31Q3081H8S6,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H8S6,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 21:35:18.278398,62.139,,10.637,failed,noInfo,0.838
noInfo,R31Q3081H8S6,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H8S6,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 21:38:13.448378,62.217,,3.18,failed,noInfo,0.831
noInfo,R31Q3081H8S6,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H8S6,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 21:46:49.685853,82.034,,3.176,failed,noInfo,0.841
noInfo,R31Q3081H8S6,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H8S6,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 21:56:35.742366,85.548,,3.242,failed,noInfo,0.838
noInfo,R31Q3081H8S6,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H8S6,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 22:00:21.719531,61.788,,3.189,failed,noInfo,0.843
noInfo,R31Q3081H8S6,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H8S6,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 22:01:46.792402,54.356,,3.183,failed,noInfo,0.835
noInfo,R31Q3081H8S6,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.7_sprint14.7_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_12.32_Jul092021.zip,None_R31Q3081H8S6,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-08-02 22:03:39.624307,172.103,,3.176,failed,noInfo,0.838
