operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,Y09Q3081H9R1,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996417,B84D4331FC01,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 14:48:16.240133,46.091,18.045,13.588,success,noInfo,2.0,2.525,4.591,0.795
noInfo,Y09Q3081H9K9,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996422,B84D4331E79D,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 15:13:29.604029,45.089,17.287,13.567,success,noInfo,2.0,2.654,4.513,0.8
noInfo,Y09Q3081H9K8,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996423,B84D433211CD,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 15:15:23.369571,41.397,17.38,13.57,success,noInfo,2.0,2.697,4.416,0.784
noInfo,Y09Q3081H9J7,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996428,B84D4331E79C,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 15:22:47.327695,45.489,17.645,14.912,failed,noInfo,2.0,2.625,4.555,0.791
noInfo,Y09Q3081H9J7,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996431,B84D4331E79C,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 15:24:31.369546,44.867,18.038,3.63,success,noInfo,2.0,2.692,4.583,0.797
noInfo,Y09Q3081H9H3,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996433,B84D4331E92B,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 15:26:25.788138,45.548,17.225,13.616,success,noInfo,2.0,2.586,4.663,0.791
noInfo,Y09Q3081H9F0,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996438,B84D4332001D,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 15:31:59.060349,44.55,17.698,13.551,success,noInfo,2.0,2.665,4.553,0.806
noInfo,Y09Q3081H9F2,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996442,B84D4331D3A8,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 15:37:45.503525,45.391,17.149,13.571,success,noInfo,2.0,2.603,4.202,0.79
noInfo,Y09Q3081H8S7,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996445,B84D4331D626,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 15:41:26.027544,51.075,17.62,13.564,success,noInfo,2.0,2.696,4.694,0.812
noInfo,Y09Q3081H8S1,UR1310A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021996448,B84D4331D10F,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-15 15:43:31.848970,45.218,17.263,13.568,success,noInfo,2.0,2.75,4.476,0.816
