operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,U22Q3233Z3Z5,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317198,20579E1BE4D4,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 09:08:24.638409,53.601,15.74,13.914,success,noInfo,2.0,5.81,4.964,1.056
noInfo,U22Q3233Z1J8,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317204,20579E1BE66B,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 09:15:34.258420,55.725,16.942,3.78,success,noInfo,2.0,5.687,4.774,1.025
noInfo,U25Q3233Z0A0,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317209,20579E39A3CC,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 09:17:41.801030,63.067,15.852,22.238,success,noInfo,2.0,5.663,5.011,1.217
noInfo,U25Q3233Z0Z6,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317212,20579ED019B7,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 09:20:31.440607,61.279,15.901,21.767,success,noInfo,2.0,5.559,4.915,1.073
noInfo,U22Q3233Z3Z5,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317220,20579E1BE4D4,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 09:24:44.427723,40.372,16.102,3.778,success,noInfo,2.0,6.902,4.749,1.16
noInfo,U25Q3233Z0A2,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317223,20579E1BE98C,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 09:35:09.235283,53.344,15.645,13.909,success,noInfo,2.0,5.678,4.955,1.065
noInfo,U22Q3233Z1J8,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317224,20579E1BE66B,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 09:38:48.331161,40.47,15.701,3.798,success,noInfo,2.0,5.718,4.932,1.024
noInfo,U22Q3233Z3H3,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317225,20579E1BE504,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 10:20:48.937257,53.652,15.55,14.003,success,noInfo,2.0,5.576,4.78,1.067
noInfo,U22Q3233Z1K6,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317234,309587AB9D9D,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 10:25:54.992353,39.983,16.134,3.898,success,noInfo,2.0,5.732,5.085,1.085
noInfo,U22Q3233Z0Q4,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,None_U22Q3233Z0Q4,,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 10:28:00.923229,68.626,16.134,3.965,failed,noInfo,,5.732,5.085,1.142
noInfo,U14Q3233Z3A5,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317241,20579ED04930,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 10:43:03.674443,41.01,16.475,3.784,success,noInfo,2.0,8.58,4.834,1.144
noInfo,U25Q3233Z0A9,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019317247,20579ED05D4B,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-26 10:49:20.036388,54.834,15.775,14.147,success,noInfo,2,5.726,5.046,1.065
